N-1,嘘突き,攻撃,-,na_22_renri_o_n_1.png,O
N-2,都度討ち,攻撃,-,na_22_renri_o_n_2.png,O
N-3,玄塗り,攻撃,対応,na_22_renri_o_n_3.png,O
N-4,煽り殺陣,行動,-,na_22_renri_o_n_4.png,O
N-5,雲喰い,行動,-,na_22_renri_o_n_5.png,O
N-6,魚吊り,行動,対応,na_22_renri_o_n_6.png,O
N-7,惹き騙り,付与,-,na_22_renri_o_n_7.png,O
S-1,ルルララリ,攻撃,-,na_22_renri_o_s_1.png,O
S-2,ラナラロミレリラ,行動,対応,na_22_renri_o_s_2.png,O
S-3,オリレテラレル,行動,対応,na_22_renri_o_s_3.png,O
S-4,夜山恋離のなれの果て,付与,-,na_22_renri_o_s_4.png,O
A-S,刻まれし衣,不定,不定,na_22_renri_o_s_4_ex1.png,O
A-E,久遠の花,攻撃,対応,na_04_tokoyo_o_s_1.png,O
A-E,完全論破,行動,-,na_07_shinra_o_s_1_s6.png,O
A-E,望我,行動,-,na_13_utsuro_a1_s_1_ex1.png,O
A-E,御剣桐子の巫女神楽,攻撃,-,na_22_kiriko_o_s_4.png,O